case_id,year,county,sector,platform,claimant_age_band,outcome,worker_won,claim_type,duration_weeks
WRC-1297,2025,Cork,Care work,Uber,25-34,Settled,False,Unfair dismissal,17
WRC-1298,2025,Dublin,Logistics,JustEat,25-34,Settled,False,Misclassification,23
WRC-1299,2025,Clare,Cleaning,Bolt,25-34,Settled,False,Misclassification,22
WRC-1300,2025,Wicklow,Food delivery,Other platform,Under 25,Worker won,True,Minimum wage,38
WRC-1301,2025,Galway,Care work,JustEat,25-34,Platform won,False,Minimum wage,48
WRC-1302,2025,Dublin,Ride-hailing,Deliveroo,35-44,Platform won,False,Holiday pay,18
WRC-1303,2025,Kilkenny,Logistics,Bolt,25-34,Worker won,True,Misclassification,51
WRC-1304,2025,Galway,Freelance digital,Deliveroo,25-34,Worker won,True,Minimum wage,41
WRC-1305,2025,Dublin,Freelance digital,Bolt,25-34,Worker won,True,Misclassification,30
WRC-1306,2025,Carlow,Freelance digital,Deliveroo,45+,Settled,False,Minimum wage,49
WRC-1307,2025,Cork,Logistics,Bolt,25-34,Worker won,True,Misclassification,49
WRC-1308,2025,Cork,Care work,Uber,Under 25,Worker won,True,Holiday pay,21
WRC-1309,2025,Mayo,Ride-hailing,Deliveroo,35-44,Worker won,True,Minimum wage,45
WRC-1310,2025,Dublin,Cleaning,Unnamed employer,Under 25,Platform won,False,Holiday pay,41
WRC-1311,2025,Westmeath,Ride-hailing,Other platform,Under 25,Platform won,False,Holiday pay,20
WRC-1312,2025,Dublin,Ride-hailing,Uber,25-34,Settled,False,Minimum wage,33
WRC-1313,2025,Cork,Care work,Deliveroo,25-34,Platform won,False,Holiday pay,19
WRC-1314,2025,Dublin,Logistics,Deliveroo,25-34,Settled,False,Minimum wage,46
WRC-1315,2025,Louth,Ride-hailing,Deliveroo,Under 25,Settled,False,Misclassification,12
WRC-1316,2025,Limerick,Freelance digital,Uber,Under 25,Platform won,False,Holiday pay,6
WRC-1317,2025,Mayo,Logistics,Bolt,35-44,Worker won,True,Minimum wage,5
WRC-1318,2025,Wicklow,Food delivery,JustEat,25-34,Platform won,False,Misclassification,38
WRC-1319,2025,Dublin,Cleaning,Bolt,45+,Worker won,True,Holiday pay,26
WRC-1320,2025,Dublin,Care work,Bolt,25-34,Worker won,True,Holiday pay,37
WRC-1321,2025,Dublin,Freelance digital,Deliveroo,25-34,Platform won,False,Minimum wage,24
WRC-1322,2025,Cork,Food delivery,Deliveroo,Under 25,Settled,False,Minimum wage,39
WRC-1323,2025,Dublin,Freelance digital,Deliveroo,25-34,Settled,False,Holiday pay,48
WRC-1324,2025,Cork,Food delivery,JustEat,25-34,Worker won,True,Holiday pay,10
WRC-1325,2025,Offaly,Care work,Other platform,Under 25,Platform won,False,Misclassification,39
WRC-1326,2025,Dublin,Ride-hailing,Other platform,35-44,Worker won,True,Minimum wage,20
WRC-1327,2025,Galway,Cleaning,Unnamed employer,45+,Worker won,True,Misclassification,21
WRC-1328,2025,Clare,Freelance digital,JustEat,Under 25,Settled,False,Minimum wage,30
WRC-1329,2025,Galway,Ride-hailing,Uber,Under 25,Worker won,True,Misclassification,18
WRC-1330,2025,Wicklow,Ride-hailing,Bolt,45+,Withdrawn,False,Minimum wage,16
WRC-1331,2025,Kildare,Food delivery,Other platform,35-44,Settled,False,Misclassification,19
WRC-1332,2025,Clare,Freelance digital,JustEat,Under 25,Platform won,False,Misclassification,36
WRC-1333,2025,Dublin,Freelance digital,Bolt,25-34,Settled,False,Misclassification,12
WRC-1334,2025,Meath,Food delivery,Bolt,Under 25,Platform won,False,Misclassification,20
WRC-1335,2025,Kildare,Freelance digital,Other platform,Under 25,Platform won,False,Misclassification,36
WRC-1336,2025,Waterford,Food delivery,Uber,45+,Worker won,True,Misclassification,34
WRC-1337,2025,Galway,Food delivery,JustEat,Under 25,Worker won,True,Misclassification,49
WRC-1338,2025,Galway,Food delivery,Unnamed employer,Under 25,Worker won,True,Misclassification,25
WRC-1339,2025,Cork,Freelance digital,Other platform,45+,Platform won,False,Misclassification,24
WRC-1340,2025,Carlow,Care work,JustEat,Under 25,Worker won,True,Unfair dismissal,6
WRC-1341,2025,Dublin,Freelance digital,Deliveroo,Under 25,Worker won,True,Misclassification,21
WRC-1342,2025,Donegal,Food delivery,Bolt,Under 25,Settled,False,Minimum wage,10
WRC-1343,2025,Dublin,Freelance digital,Unnamed employer,45+,Worker won,True,Unfair dismissal,6
WRC-1344,2025,Donegal,Food delivery,Uber,Under 25,Worker won,True,Holiday pay,40
WRC-1345,2025,Galway,Freelance digital,JustEat,25-34,Worker won,True,Minimum wage,13
WRC-1346,2025,Dublin,Ride-hailing,Deliveroo,25-34,Settled,False,Misclassification,38
WRC-1347,2025,Waterford,Food delivery,Other platform,Under 25,Withdrawn,False,Unfair dismissal,18
WRC-1348,2025,Dublin,Food delivery,Deliveroo,25-34,Platform won,False,Holiday pay,46
WRC-1349,2025,Limerick,Freelance digital,Unnamed employer,25-34,Worker won,True,Minimum wage,28
