county,year,quarter,age_band,population_sample,employed,unemployed,self_employed,employment_rate,self_emp_rate
Cork,2021,Q2,20-24,2105,1461,159,302,69.4,20.7
Cork,2021,Q2,25-29,1773,1417,65,207,79.9,14.6
Cork,2021,Q2,30-34,3029,2567,148,590,84.7,23.0
Cork,2021,Q3,15-19,2343,833,42,179,35.6,21.5
Cork,2021,Q3,20-24,2118,1439,73,318,67.9,22.1
Cork,2021,Q3,25-29,2281,1804,144,263,79.1,14.6
Cork,2021,Q3,30-34,1812,1600,79,252,88.3,15.8
Cork,2021,Q4,15-19,2939,997,46,202,33.9,20.3
Cork,2021,Q4,20-24,2039,1366,88,221,67.0,16.2
Cork,2021,Q4,25-29,2741,2251,128,403,82.1,17.9
Cork,2021,Q4,30-34,1889,1629,115,278,86.2,17.1
Cork,2022,Q1,15-19,2516,910,108,88,36.2,9.7
Cork,2022,Q1,20-24,1881,1348,100,154,71.7,11.4
Cork,2022,Q1,25-29,2085,1777,114,184,85.2,10.4
Cork,2022,Q1,30-34,1933,1851,165,343,95.8,18.5
Cork,2022,Q2,15-19,2972,1143,101,154,38.5,13.5
Cork,2022,Q2,20-24,2681,1958,145,211,73.0,10.8
Cork,2022,Q2,25-29,3020,2687,183,453,89.0,16.9
Cork,2022,Q2,30-34,2915,2678,190,633,91.9,23.6
Cork,2022,Q3,15-19,2160,804,63,73,37.2,9.1
Cork,2022,Q3,20-24,3058,2243,211,262,73.3,11.7
Cork,2022,Q3,25-29,1900,1646,175,304,86.6,18.5
Cork,2022,Q3,30-34,2501,2277,98,330,91.0,14.5
Cork,2022,Q4,15-19,2851,1073,81,233,37.6,21.7
Cork,2022,Q4,20-24,2160,1530,76,338,70.8,22.1
Cork,2022,Q4,25-29,3064,2688,188,399,87.7,14.8
Cork,2022,Q4,30-34,2686,2512,292,272,93.5,10.8
Cork,2023,Q1,15-19,2180,850,55,168,39.0,19.8
Cork,2023,Q1,20-24,3016,2159,134,510,71.6,23.6
Cork,2023,Q1,25-29,2268,2020,183,391,89.1,19.4
Cork,2023,Q1,30-34,2197,2061,229,331,93.8,16.1
Cork,2023,Q2,15-19,2138,792,78,135,37.0,17.0
Cork,2023,Q2,20-24,1980,1414,60,293,71.4,20.7
Cork,2023,Q2,25-29,2604,2247,102,206,86.3,9.2
Cork,2023,Q2,30-34,2083,2035,138,278,97.7,13.7
Cork,2023,Q3,15-19,2717,1059,98,126,39.0,11.9
Cork,2023,Q3,20-24,2838,2088,175,461,73.6,22.1
Cork,2023,Q3,25-29,2901,2544,106,261,87.7,10.3
Cork,2023,Q3,30-34,2241,2218,227,279,99.0,12.6
Cork,2023,Q4,15-19,2481,937,52,102,37.8,10.9
Cork,2023,Q4,20-24,2598,1888,85,455,72.7,24.1
Cork,2023,Q4,25-29,2019,1738,204,375,86.1,21.6
Cork,2023,Q4,30-34,2831,2631,207,618,92.9,23.5
Cork,2024,Q1,15-19,2391,935,49,92,39.1,9.8
Cork,2024,Q1,20-24,2358,1837,106,279,77.9,15.2
Cork,2024,Q1,25-29,2030,1827,97,248,90.0,13.6
Cork,2024,Q1,30-34,2136,2032,225,398,95.1,19.6
Cork,2024,Q2,15-19,2026,805,87,183,39.7,22.7
Cork,2024,Q2,20-24,2270,1716,155,218,75.6,12.7
Cork,2024,Q2,25-29,2422,2240,228,442,92.5,19.7
Cork,2024,Q2,30-34,2204,2118,212,286,96.1,13.5
Cork,2024,Q3,15-19,2783,1045,99,111,37.5,10.6
Cork,2024,Q3,20-24,2994,2204,177,501,73.6,22.7
Cork,2024,Q3,25-29,2772,2501,251,529,90.2,21.2
Cork,2024,Q3,30-34,2890,2772,236,562,95.9,20.3
Cork,2024,Q4,15-19,1995,782,78,92,39.2,11.8
Cork,2024,Q4,20-24,2554,1933,202,408,75.7,21.1
Cork,2024,Q4,25-29,2890,2729,130,427,94.4,15.6
Cork,2024,Q4,30-34,2838,2725,270,608,96.0,22.3
Cork,2025,Q1,15-19,1903,741,76,137,38.9,18.5
Cork,2025,Q1,20-24,3073,2418,259,558,78.7,23.1
Cork,2025,Q1,25-29,1788,1683,169,346,94.1,20.6
Cork,2025,Q1,30-34,1911,1950,233,301,102.0,15.4
Cork,2025,Q2,15-19,2596,1034,105,134,39.8,13.0
Cork,2025,Q2,20-24,2096,1590,116,331,75.9,20.8
Cork,2025,Q2,25-29,2648,2352,125,291,88.8,12.4
Cork,2025,Q2,30-34,1801,1770,194,314,98.3,17.7
Cork,2025,Q3,15-19,2890,1099,94,204,38.0,18.6
Cork,2025,Q3,20-24,2937,2280,238,315,77.6,13.8
Cork,2025,Q3,25-29,1889,1719,156,203,91.0,11.8
Cork,2025,Q3,30-34,1997,2017,239,259,101.0,12.8
Cork,2025,Q4,15-19,1799,705,36,104,39.2,14.8
Cork,2025,Q4,20-24,2160,1618,112,168,74.9,10.4
Cork,2025,Q4,25-29,2805,2638,316,652,94.0,24.7
Cork,2025,Q4,30-34,2112,2079,188,464,98.4,22.3
Donegal,2018,Q1,15-19,599,208,22,27,34.7,13.0
Donegal,2018,Q1,20-24,468,329,18,52,70.3,15.8
Donegal,2018,Q1,25-29,468,378,15,31,80.8,8.2
Donegal,2018,Q1,30-34,526,466,44,97,88.6,20.8
Donegal,2018,Q2,15-19,681,246,14,34,36.1,13.8
Donegal,2018,Q2,20-24,690,482,26,92,69.9,19.1
Donegal,2018,Q2,25-29,436,370,35,62,84.9,16.8
Donegal,2018,Q2,30-34,547,481,36,87,87.9,18.1
Donegal,2018,Q3,15-19,490,167,8,22,34.1,13.2
Donegal,2018,Q3,20-24,697,479,55,42,68.7,8.8
Donegal,2018,Q3,25-29,606,478,29,56,78.9,11.7
Donegal,2018,Q3,30-34,534,460,28,85,86.1,18.5
Donegal,2018,Q4,15-19,502,172,9,34,34.3,19.8
Donegal,2018,Q4,20-24,697,478,40,61,68.6,12.8
Donegal,2018,Q4,25-29,659,522,30,95,79.2,18.2
Donegal,2018,Q4,30-34,501,457,38,96,91.2,21.0
Donegal,2019,Q1,15-19,612,223,22,38,36.4,17.0
Donegal,2019,Q1,20-24,482,346,20,60,71.8,17.3
Donegal,2019,Q1,25-29,552,459,54,77,83.2,16.8
Donegal,2019,Q1,30-34,622,540,28,61,86.8,11.3
Donegal,2019,Q2,15-19,644,221,20,35,34.3,15.8
Donegal,2019,Q2,20-24,686,464,33,74,67.6,15.9
Donegal,2019,Q2,25-29,611,518,43,48,84.8,9.3
Donegal,2019,Q2,30-34,498,458,34,46,92.0,10.0
Donegal,2019,Q3,15-19,410,150,14,22,36.6,14.7
Donegal,2019,Q3,20-24,617,432,36,39,70.0,9.0
Donegal,2019,Q3,25-29,546,466,35,41,85.3,8.8
Donegal,2019,Q3,30-34,680,594,36,62,87.4,10.4
Donegal,2019,Q4,15-19,591,214,21,18,36.2,8.4
Donegal,2019,Q4,20-24,506,354,18,42,70.0,11.9
Donegal,2019,Q4,25-29,590,490,58,94,83.1,19.2
Donegal,2019,Q4,30-34,623,560,26,73,89.9,13.0
Donegal,2020,Q1,15-19,421,134,10,13,31.8,9.7
Donegal,2020,Q1,20-24,617,381,27,37,61.8,9.7
Donegal,2020,Q1,25-29,553,403,22,39,72.9,9.7
Donegal,2020,Q1,30-34,653,536,46,95,82.1,17.7
Donegal,2020,Q2,15-19,683,220,12,47,32.2,21.4
Donegal,2020,Q2,20-24,504,303,28,60,60.1,19.8
Donegal,2020,Q2,25-29,593,438,48,47,73.9,10.7
Donegal,2020,Q2,30-34,642,500,28,55,77.9,11.0
Donegal,2020,Q3,15-19,529,172,20,36,32.5,20.9
Donegal,2020,Q3,20-24,661,417,27,95,63.1,22.8
Donegal,2020,Q3,25-29,454,352,32,62,77.5,17.6
Donegal,2020,Q3,30-34,529,441,52,79,83.4,17.9
Donegal,2020,Q4,15-19,668,206,8,42,30.8,20.4
Donegal,2020,Q4,20-24,590,362,42,48,61.4,13.3
Donegal,2020,Q4,25-29,532,407,33,76,76.5,18.7
Donegal,2020,Q4,30-34,588,470,49,71,79.9,15.1
Donegal,2021,Q1,15-19,512,182,20,30,35.5,16.5
Donegal,2021,Q1,20-24,538,351,16,68,65.2,19.4
Donegal,2021,Q1,25-29,672,539,40,107,80.2,19.9
Donegal,2021,Q1,30-34,539,474,32,100,87.9,21.1
Donegal,2021,Q2,15-19,544,183,17,24,33.6,13.1
Donegal,2021,Q2,20-24,523,340,18,73,65.0,21.5
Donegal,2021,Q2,25-29,461,389,17,37,84.4,9.5
Donegal,2021,Q2,30-34,689,610,49,80,88.5,13.1
Donegal,2021,Q3,15-19,495,165,16,24,33.3,14.5
Donegal,2021,Q3,20-24,629,414,43,39,65.8,9.4
Donegal,2021,Q3,25-29,503,400,45,74,79.5,18.5
Donegal,2021,Q3,30-34,603,511,36,73,84.7,14.3
Donegal,2021,Q4,15-19,470,167,13,23,35.5,13.8
Donegal,2021,Q4,20-24,670,462,36,40,69.0,8.7
Donegal,2021,Q4,25-29,611,505,57,64,82.7,12.7
Donegal,2021,Q4,30-34,441,399,42,76,90.5,19.0
Donegal,2022,Q1,15-19,541,195,22,38,36.0,19.5
Donegal,2022,Q1,20-24,587,429,38,67,73.1,15.6
Donegal,2022,Q1,25-29,459,410,34,42,89.3,10.2
Donegal,2022,Q1,30-34,542,492,42,64,90.8,13.0
Donegal,2022,Q2,15-19,501,181,10,36,36.1,19.9
Donegal,2022,Q2,20-24,420,295,33,64,70.2,21.7
Donegal,2022,Q2,25-29,698,632,34,63,90.5,10.0
Donegal,2022,Q2,30-34,638,618,38,95,96.9,15.4
Donegal,2022,Q3,15-19,687,263,22,49,38.3,18.6
Donegal,2022,Q3,20-24,551,412,36,43,74.8,10.4
Donegal,2022,Q3,25-29,500,453,42,97,90.6,21.4
Donegal,2022,Q3,30-34,639,606,49,93,94.8,15.3
Donegal,2022,Q4,15-19,565,218,16,23,38.6,10.6
Donegal,2022,Q4,20-24,412,292,15,68,70.9,23.3
Donegal,2022,Q4,25-29,674,596,57,74,88.4,12.4
Donegal,2022,Q4,30-34,627,574,33,120,91.5,20.9
Donegal,2023,Q1,15-19,689,266,30,49,38.6,18.4
Donegal,2023,Q1,20-24,580,430,39,43,74.1,10.0
Donegal,2023,Q1,25-29,686,611,26,68,89.1,11.1
Donegal,2023,Q1,30-34,589,563,42,92,95.6,16.3
Donegal,2023,Q2,15-19,611,232,17,38,38.0,16.4
Donegal,2023,Q2,20-24,424,301,17,28,71.0,9.3
Donegal,2023,Q2,25-29,570,506,29,77,88.8,15.2
Donegal,2023,Q2,30-34,590,555,58,74,94.1,13.3
Donegal,2023,Q3,15-19,664,245,16,41,36.9,16.7
Donegal,2023,Q3,20-24,420,299,28,29,71.2,9.7
Donegal,2023,Q3,25-29,566,523,27,79,92.4,15.1
Donegal,2023,Q3,30-34,409,389,43,78,95.1,20.1
Donegal,2023,Q4,15-19,533,206,13,41,38.6,19.9
Donegal,2023,Q4,20-24,524,395,43,35,75.4,8.9
Donegal,2023,Q4,25-29,615,530,46,105,86.2,19.8
Donegal,2023,Q4,30-34,561,533,40,78,95.0,14.6
Donegal,2024,Q1,15-19,605,235,26,36,38.8,15.3
Donegal,2024,Q1,20-24,420,327,30,65,77.9,19.9
Donegal,2024,Q1,25-29,624,584,51,100,93.6,17.1
Donegal,2024,Q1,30-34,681,685,60,159,100.6,23.2
Donegal,2024,Q2,15-19,441,172,17,30,39.0,17.4
Donegal,2024,Q2,20-24,593,448,23,42,75.5,9.4
Donegal,2024,Q2,25-29,533,476,37,88,89.3,18.5
Donegal,2024,Q2,30-34,578,546,46,80,94.5,14.7
Donegal,2024,Q3,15-19,539,214,9,33,39.7,15.4
Donegal,2024,Q3,20-24,453,339,31,46,74.8,13.6
Donegal,2024,Q3,25-29,414,374,38,83,90.3,22.2
Donegal,2024,Q3,30-34,477,468,47,50,98.1,10.7
Donegal,2024,Q4,15-19,437,170,11,32,38.9,18.8
Donegal,2024,Q4,20-24,589,450,31,53,76.4,11.8
Donegal,2024,Q4,25-29,403,355,39,52,88.1,14.6
Donegal,2024,Q4,30-34,473,455,37,69,96.2,15.2
Donegal,2025,Q1,15-19,609,236,10,38,38.8,16.1
Donegal,2025,Q1,20-24,687,530,36,68,77.1,12.8
Donegal,2025,Q1,25-29,501,464,22,56,92.6,12.1
Donegal,2025,Q1,30-34,616,609,25,107,98.9,17.6
Donegal,2025,Q2,15-19,437,167,8,21,38.2,12.6
Donegal,2025,Q2,20-24,581,440,23,43,75.7,9.8
Donegal,2025,Q2,25-29,462,425,26,102,92.0,24.0
Donegal,2025,Q2,30-34,462,453,31,77,98.1,17.0
Donegal,2025,Q3,15-19,500,204,12,51,40.8,25.0
Donegal,2025,Q3,20-24,649,478,56,105,73.7,22.0
Donegal,2025,Q3,25-29,434,389,32,71,89.6,18.3
Donegal,2025,Q3,30-34,589,599,41,137,101.7,22.9
Donegal,2025,Q4,15-19,454,174,7,26,38.3,14.9
Donegal,2025,Q4,20-24,666,528,44,79,79.3,15.0
Donegal,2025,Q4,25-29,539,517,26,118,95.9,22.8
Donegal,2025,Q4,30-34,617,625,61,89,101.3,14.2
Dublin,2018,Q1,15-19,5065,1782,159,192,35.2,10.8
Dublin,2018,Q1,20-24,6595,4319,337,673,65.5,15.6
Dublin,2018,Q1,25-29,4315,3564,313,461,82.6,12.9
Dublin,2018,Q1,30-34,6790,6152,310,1173,90.6,19.1
Dublin,2018,Q2,15-19,6375,2152,203,312,33.8,14.5
Dublin,2018,Q2,20-24,6615,4667,541,708,70.6,15.2
Dublin,2018,Q2,25-29,6905,5702,399,684,82.6,12.0
Dublin,2018,Q2,30-34,6080,5377,404,886,88.4,16.5
Dublin,2018,Q3,15-19,6490,2285,249,496,35.2,21.7
Dublin,2018,Q3,20-24,4405,2981,262,485,67.7,16.3
Dublin,2018,Q3,25-29,5820,4763,570,420,81.8,8.8
Dublin,2018,Q3,30-34,5680,5137,572,455,90.4,8.9
Dublin,2018,Q4,15-19,5610,1955,158,327,34.8,16.7
Dublin,2018,Q4,20-24,5430,3761,379,790,69.3,21.0
Dublin,2018,Q4,25-29,6825,5608,508,954,82.2,17.0
Dublin,2018,Q4,30-34,5015,4520,281,494,90.1,10.9
Dublin,2019,Q1,15-19,4280,1560,186,172,36.4,11.0
Dublin,2019,Q1,20-24,4560,3053,122,269,67.0,8.8
Dublin,2019,Q1,25-29,5455,4675,463,479,85.7,10.2
Dublin,2019,Q1,30-34,4935,4477,453,910,90.7,20.3
Dublin,2019,Q2,15-19,4965,1713,123,318,34.5,18.6
Dublin,2019,Q2,20-24,5915,4155,174,523,70.2,12.6
Dublin,2019,Q2,25-29,6915,5592,585,1219,80.9,21.8
Dublin,2019,Q2,30-34,5445,4685,225,968,86.0,20.7
Dublin,2019,Q3,15-19,4325,1488,119,291,34.4,19.6
Dublin,2019,Q3,20-24,5785,3860,176,539,66.7,14.0
Dublin,2019,Q3,25-29,4550,3710,404,517,81.5,13.9
Dublin,2019,Q3,30-34,5070,4697,340,995,92.6,21.2
Dublin,2019,Q4,15-19,5150,1831,106,318,35.6,17.4
Dublin,2019,Q4,20-24,6180,4118,235,583,66.6,14.2
Dublin,2019,Q4,25-29,5400,4371,485,673,80.9,15.4
Dublin,2019,Q4,30-34,6225,5556,587,897,89.3,16.1
Dublin,2020,Q1,15-19,4795,1533,118,181,32.0,11.8
Dublin,2020,Q1,20-24,4260,2705,227,434,63.5,16.0
Dublin,2020,Q1,25-29,5020,3877,378,554,77.2,14.3
Dublin,2020,Q1,30-34,5445,4240,383,390,77.9,9.2
Dublin,2020,Q2,15-19,6800,2138,85,340,31.4,15.9
Dublin,2020,Q2,20-24,4765,3004,262,647,63.0,21.5
Dublin,2020,Q2,25-29,4435,3405,137,409,76.8,12.0
Dublin,2020,Q2,30-34,4780,3967,421,408,83.0,10.3
Dublin,2020,Q3,15-19,4680,1534,99,306,32.8,19.9
Dublin,2020,Q3,20-24,4700,2895,203,641,61.6,22.1
Dublin,2020,Q3,25-29,6100,4420,191,738,72.5,16.7
Dublin,2020,Q3,30-34,4870,3802,368,691,78.1,18.2
Dublin,2020,Q4,15-19,6675,2174,252,407,32.6,18.7
Dublin,2020,Q4,20-24,6660,4120,373,951,61.9,23.1
Dublin,2020,Q4,25-29,4500,3363,238,710,74.7,21.1
Dublin,2020,Q4,30-34,5770,4613,261,637,79.9,13.8
Dublin,2021,Q1,15-19,5175,1723,187,196,33.3,11.4
Dublin,2021,Q1,20-24,5980,4001,390,567,66.9,14.2
Dublin,2021,Q1,25-29,4825,3911,431,463,81.1,11.8
Dublin,2021,Q1,30-34,4860,4079,291,922,83.9,22.6
Dublin,2021,Q2,15-19,5365,1895,223,177,35.3,9.3
Dublin,2021,Q2,20-24,6695,4587,256,1009,68.5,22.0
Dublin,2021,Q2,25-29,5255,4113,383,863,78.3,21.0
Dublin,2021,Q2,30-34,4265,3723,228,788,87.3,21.2
Dublin,2021,Q3,15-19,6785,2304,260,488,34.0,21.2
Dublin,2021,Q3,20-24,5985,4004,318,587,66.9,14.7
Dublin,2021,Q3,25-29,4080,3422,209,667,83.9,19.5
Dublin,2021,Q3,30-34,6040,5461,445,1026,90.4,18.8
Dublin,2021,Q4,15-19,4590,1626,165,267,35.4,16.4
Dublin,2021,Q4,20-24,6505,4213,428,874,64.8,20.7
Dublin,2021,Q4,25-29,6100,4862,201,632,79.7,13.0
Dublin,2021,Q4,30-34,4160,3696,213,674,88.8,18.2
Dublin,2022,Q1,15-19,4055,1460,93,273,36.0,18.7
Dublin,2022,Q1,20-24,5135,3847,161,870,74.9,22.6
Dublin,2022,Q1,25-29,5120,4538,287,544,88.6,12.0
Dublin,2022,Q1,30-34,4290,3983,180,490,92.8,12.3
Dublin,2022,Q2,15-19,5125,1920,191,309,37.5,16.1
Dublin,2022,Q2,20-24,5085,3731,444,465,73.4,12.5
Dublin,2022,Q2,25-29,6165,5481,465,1138,88.9,20.8
Dublin,2022,Q2,30-34,6640,6126,341,671,92.3,11.0
Dublin,2022,Q3,15-19,4125,1590,103,207,38.5,13.0
Dublin,2022,Q3,20-24,6300,4706,427,695,74.7,14.8
Dublin,2022,Q3,25-29,6055,5383,564,1259,88.9,23.4
Dublin,2022,Q3,30-34,4505,4178,324,940,92.7,22.5
Dublin,2022,Q4,15-19,6440,2453,233,567,38.1,23.1
Dublin,2022,Q4,20-24,6975,5137,389,558,73.6,10.9
Dublin,2022,Q4,25-29,6105,5379,319,888,88.1,16.5
Dublin,2022,Q4,30-34,5380,5262,471,1215,97.8,23.1
Dublin,2023,Q1,15-19,6225,2367,198,374,38.0,15.8
Dublin,2023,Q1,20-24,4010,2892,218,355,72.1,12.3
Dublin,2023,Q1,25-29,5170,4685,238,1155,90.6,24.7
Dublin,2023,Q1,30-34,4245,4187,248,1010,98.6,24.1
Dublin,2023,Q2,15-19,5355,2065,164,318,38.6,15.4
Dublin,2023,Q2,20-24,4445,3300,189,535,74.2,16.2
Dublin,2023,Q2,25-29,5365,4831,221,908,90.0,18.8
Dublin,2023,Q2,30-34,4765,4392,467,901,92.2,20.5
Dublin,2023,Q3,15-19,4620,1825,213,314,39.5,17.2
Dublin,2023,Q3,20-24,6245,4801,342,1078,76.9,22.5
Dublin,2023,Q3,25-29,6385,5806,347,1108,90.9,19.1
Dublin,2023,Q3,30-34,4190,4109,479,863,98.1,21.0
Dublin,2023,Q4,15-19,4460,1701,69,155,38.1,9.1
Dublin,2023,Q4,20-24,6555,4878,509,474,74.4,9.7
Dublin,2023,Q4,25-29,4845,4268,460,874,88.1,20.5
Dublin,2023,Q4,30-34,4770,4403,345,855,92.3,19.4
Dublin,2024,Q1,15-19,4045,1619,84,407,40.0,25.1
Dublin,2024,Q1,20-24,6725,5266,229,1129,78.3,21.4
Dublin,2024,Q1,25-29,6015,5576,632,1366,92.7,24.5
Dublin,2024,Q1,30-34,4080,4069,244,743,99.7,18.3
Dublin,2024,Q2,15-19,4450,1714,184,406,38.5,23.7
Dublin,2024,Q2,20-24,4765,3710,178,643,77.9,17.3
Dublin,2024,Q2,25-29,4200,3675,157,441,87.5,12.0
Dublin,2024,Q2,30-34,5765,5701,330,920,98.9,16.1
Dublin,2024,Q3,15-19,5275,2035,175,356,38.6,17.5
Dublin,2024,Q3,20-24,5405,4183,215,674,77.4,16.1
Dublin,2024,Q3,25-29,5630,5256,378,1129,93.4,21.5
Dublin,2024,Q3,30-34,4415,4303,242,805,97.5,18.7
Dublin,2024,Q4,15-19,6760,2578,225,250,38.1,9.7
Dublin,2024,Q4,20-24,6465,4703,214,1145,72.7,24.3
Dublin,2024,Q4,25-29,6100,5524,262,1243,90.6,22.5
Dublin,2024,Q4,30-34,4940,4904,499,729,99.3,14.9
Dublin,2025,Q1,15-19,4015,1538,169,280,38.3,18.2
Dublin,2025,Q1,20-24,5235,3941,451,624,75.3,15.8
Dublin,2025,Q1,25-29,4900,4620,184,750,94.3,16.2
Dublin,2025,Q1,30-34,6825,6688,654,849,98.0,12.7
Dublin,2025,Q2,15-19,4420,1714,100,161,38.8,9.4
Dublin,2025,Q2,20-24,4185,3263,297,529,78.0,16.2
Dublin,2025,Q2,25-29,5710,5318,593,1215,93.1,22.8
Dublin,2025,Q2,30-34,4555,4627,252,717,101.6,15.5
Dublin,2025,Q3,15-19,5890,2414,174,314,41.0,13.0
Dublin,2025,Q3,20-24,4105,3116,271,631,75.9,20.3
Dublin,2025,Q3,25-29,6850,6281,630,611,91.7,9.7
Dublin,2025,Q3,30-34,4805,4868,422,1220,101.3,25.1
Dublin,2025,Q4,15-19,4045,1591,109,397,39.3,25.0
Dublin,2025,Q4,20-24,4550,3543,356,392,77.9,11.1
Dublin,2025,Q4,25-29,4950,4573,318,1131,92.4,24.7
Dublin,2025,Q4,30-34,4435,4274,232,470,96.4,11.0
Galway,2018,Q1,15-19,1296,468,44,85,36.1,18.2
Galway,2018,Q1,20-24,1445,964,100,103,66.7,10.7
Galway,2018,Q1,25-29,1222,979,91,99,80.1,10.1
Galway,2018,Q1,30-34,1476,1319,129,209,89.4,15.8
Galway,2018,Q2,15-19,1276,448,29,66,35.1,14.7
Galway,2018,Q2,20-24,1168,812,80,108,69.5,13.3
Galway,2018,Q2,25-29,1094,921,37,164,84.2,17.8
Galway,2018,Q2,30-34,1389,1255,59,198,90.4,15.8
Galway,2018,Q3,15-19,1257,424,34,76,33.7,17.9
Galway,2018,Q3,20-24,1545,1018,119,183,65.9,18.0
Galway,2018,Q3,25-29,1808,1438,157,146,79.5,10.2
Galway,2018,Q3,30-34,1626,1445,94,280,88.9,19.4
Galway,2018,Q4,15-19,1445,517,31,86,35.8,16.6
Galway,2018,Q4,20-24,1625,1136,134,190,69.9,16.7
Galway,2018,Q4,25-29,1688,1403,61,220,83.1,15.7
Galway,2018,Q4,30-34,1202,1048,57,144,87.2,13.7
Galway,2019,Q1,15-19,1164,412,45,69,35.4,16.7
Galway,2019,Q1,20-24,1115,762,35,98,68.3,12.9
Galway,2019,Q1,25-29,1294,1043,58,142,80.6,13.6
Galway,2019,Q1,30-34,1414,1281,120,221,90.6,17.3
Galway,2019,Q2,15-19,1722,627,64,105,36.4,16.7
Galway,2019,Q2,20-24,1563,1062,65,152,67.9,14.3
Galway,2019,Q2,25-29,1778,1426,108,316,80.2,22.2
Galway,2019,Q2,30-34,1457,1354,66,189,92.9,14.0
Galway,2019,Q3,15-19,1145,414,30,54,36.2,13.0
Galway,2019,Q3,20-24,1303,871,77,136,66.8,15.6
Galway,2019,Q3,25-29,1309,1104,92,199,84.3,18.0
Galway,2019,Q3,30-34,1238,1118,51,103,90.3,9.2
Galway,2019,Q4,15-19,1337,459,34,83,34.3,18.1
Galway,2019,Q4,20-24,1562,1091,100,131,69.8,12.0
Galway,2019,Q4,25-29,1212,991,93,181,81.8,18.3
Galway,2019,Q4,30-34,1766,1592,130,187,90.1,11.7
Galway,2020,Q1,15-19,1374,451,52,44,32.8,9.8
Galway,2020,Q1,20-24,1384,865,49,192,62.5,22.2
Galway,2020,Q1,25-29,1361,1024,98,188,75.2,18.4
Galway,2020,Q1,30-34,1407,1140,80,252,81.0,22.1
Galway,2020,Q2,15-19,1216,386,45,55,31.7,14.2
Galway,2020,Q2,20-24,1346,842,83,97,62.6,11.5
Galway,2020,Q2,25-29,1254,907,36,133,72.3,14.7
Galway,2020,Q2,30-34,1583,1309,61,265,82.7,20.2
Galway,2020,Q3,15-19,1515,474,35,90,31.3,19.0
Galway,2020,Q3,20-24,1361,825,69,150,60.6,18.2
Galway,2020,Q3,25-29,1314,959,88,195,73.0,20.3
Galway,2020,Q3,30-34,1183,967,39,116,81.7,12.0
Galway,2020,Q4,15-19,1514,474,28,44,31.3,9.3
Galway,2020,Q4,20-24,1118,688,39,118,61.5,17.2
Galway,2020,Q4,25-29,1725,1246,144,258,72.2,20.7
Galway,2020,Q4,30-34,1753,1393,110,175,79.5,12.6
Galway,2021,Q1,15-19,1693,572,51,113,33.8,19.8
Galway,2021,Q1,20-24,1680,1120,127,194,66.7,17.3
Galway,2021,Q1,25-29,1422,1133,78,250,79.7,22.1
Galway,2021,Q1,30-34,1777,1584,115,344,89.1,21.7
Galway,2021,Q2,15-19,1198,422,31,64,35.2,15.2
Galway,2021,Q2,20-24,1366,894,91,133,65.4,14.9
Galway,2021,Q2,25-29,1120,894,67,79,79.8,8.8
Galway,2021,Q2,30-34,1316,1147,51,183,87.2,16.0
Galway,2021,Q3,15-19,1307,445,43,39,34.0,8.8
Galway,2021,Q3,20-24,1196,790,41,87,66.1,11.0
Galway,2021,Q3,25-29,1066,883,86,185,82.8,21.0
Galway,2021,Q3,30-34,1812,1530,96,202,84.4,13.2
Galway,2021,Q4,15-19,1615,557,46,69,34.5,12.4
Galway,2021,Q4,20-24,1118,744,79,152,66.5,20.4
Galway,2021,Q4,25-29,1443,1145,119,233,79.3,20.3
Galway,2021,Q4,30-34,1268,1106,127,240,87.2,21.7
Galway,2022,Q1,15-19,1315,509,23,109,38.7,21.4
Galway,2022,Q1,20-24,1089,774,84,148,71.1,19.1
Galway,2022,Q1,25-29,1643,1426,109,216,86.8,15.1
Galway,2022,Q1,30-34,1632,1497,140,173,91.7,11.6
Galway,2022,Q2,15-19,1764,655,51,100,37.1,15.3
Galway,2022,Q2,20-24,1359,951,92,190,70.0,20.0
Galway,2022,Q2,25-29,1062,918,76,129,86.4,14.1
Galway,2022,Q2,30-34,1344,1291,142,137,96.1,10.6
Galway,2022,Q3,15-19,1188,435,35,78,36.6,17.9
Galway,2022,Q3,20-24,1306,926,55,119,70.9,12.9
Galway,2022,Q3,25-29,1192,1024,119,187,85.9,18.3
Galway,2022,Q3,30-34,1700,1592,159,353,93.6,22.2
Galway,2022,Q4,15-19,1292,492,47,56,38.1,11.4
Galway,2022,Q4,20-24,1498,1084,118,200,72.4,18.5
Galway,2022,Q4,25-29,1349,1149,101,121,85.2,10.5
Galway,2022,Q4,30-34,1422,1303,124,156,91.6,12.0
Galway,2023,Q1,15-19,1461,569,53,120,38.9,21.1
Galway,2023,Q1,20-24,1172,863,35,185,73.6,21.4
Galway,2023,Q1,25-29,1736,1573,114,360,90.6,22.9
Galway,2023,Q1,30-34,1579,1540,170,315,97.5,20.5
Galway,2023,Q2,15-19,1133,433,46,94,38.2,21.7
Galway,2023,Q2,20-24,1475,1067,53,144,72.3,13.5
Galway,2023,Q2,25-29,1297,1154,63,259,89.0,22.4
Galway,2023,Q2,30-34,1596,1528,62,236,95.7,15.4
Galway,2023,Q3,15-19,1112,434,48,52,39.0,12.0
Galway,2023,Q3,20-24,1732,1281,69,265,74.0,20.7
Galway,2023,Q3,25-29,1474,1271,116,129,86.2,10.1
Galway,2023,Q3,30-34,1471,1445,107,356,98.2,24.6
Galway,2023,Q4,15-19,1458,543,36,80,37.2,14.7
