county,year,official_employed_u27,official_self_emp_u27,avg_employment_rate_u27,estimated_platform_workers,platform_share_pct,median_platform_income_eur,top_platform,total_cases,worker_wins,misclass_cases,worker_win_rate,deprivation_score,deprivation_category,urbanisation_rate,estimated_true_gig_workers,hidden_work_gap_pct,gap_score,risk_category,gig_yoy_growth
Tipperary,2018,1159.0,182.25,61.89166666666667,16,17.0,9476,Other,2,1,0,50.0,31.2,Disadvantaged,35.0,40,3.5,8.5,Low,
Tipperary,2019,1232.0,200.75,62.53333333333333,28,20.7,7514,Bolt,0,0,0,0.0,31.2,Disadvantaged,35.0,70,5.7,27.4,Medium,75.0
Tipperary,2020,1150.5,195.5,56.30833333333334,36,24.1,9116,Airbnb,1,1,1,100.0,31.2,Disadvantaged,35.0,90,7.8,45.3,Medium,28.6
Tipperary,2021,1255.25,214.25,61.59166666666666,26,31.7,12432,JustEat,0,0,0,0.0,31.2,Disadvantaged,35.0,65,5.2,23.1,Low,-27.8
Tipperary,2022,1274.75,217.25,65.90833333333333,43,32.7,5965,Deliveroo,1,1,0,100.0,31.2,Disadvantaged,35.0,108,8.5,51.3,High,66.2
Tipperary,2023,1285.5,203.25,67.66666666666667,63,38.7,15574,Upwork,1,0,1,0.0,31.2,Disadvantaged,35.0,158,12.3,83.8,Critical,46.3
Tipperary,2024,1226.25,198.0,68.27499999999999,39,40.8,15143,Deliveroo,2,0,0,0.0,31.2,Disadvantaged,35.0,98,8.0,47.0,Medium,-38.0
Tipperary,2025,1422.0,245.0,69.0,71,44.8,11595,Deliveroo,0,0,0,0.0,31.2,Disadvantaged,35.0,178,12.5,85.5,Critical,81.6
Waterford,2018,1362.0,218.5,61.61666666666667,19,19.9,13953,Deliveroo,0,0,0,0.0,27.9,Marginally below average,55.0,48,3.5,8.5,Low,
Waterford,2019,1488.5,213.75,62.400000000000006,29,21.0,6194,TaskRabbit,1,0,1,0.0,27.9,Marginally below average,55.0,72,4.8,19.7,Low,50.0
Waterford,2020,1287.0,217.0,56.449999999999996,37,24.5,13799,Deliveroo,2,1,1,50.0,27.9,Marginally below average,55.0,92,7.1,39.3,Medium,27.8
Waterford,2021,1347.0,211.5,61.29999999999999,27,28.3,14609,Bolt,2,1,1,50.0,27.9,Marginally below average,55.0,68,5.0,21.4,Low,-26.1
Waterford,2022,1370.75,219.75,65.65833333333335,52,35.9,15737,Deliveroo,1,1,0,100.0,27.9,Marginally below average,55.0,130,9.5,59.8,High,91.2
Waterford,2023,1526.0,265.5,66.875,52,37.5,14167,Airbnb,5,2,3,40.0,27.9,Marginally below average,55.0,130,8.5,51.3,High,0.0
Waterford,2024,1592.5,259.5,67.89999999999999,47,40.2,8636,Deliveroo,3,3,0,100.0,27.9,Marginally below average,55.0,118,7.4,41.9,Medium,-9.2
Waterford,2025,1618.25,268.75,69.65833333333333,77,47.6,8301,Upwork,3,1,2,33.3,27.9,Marginally below average,55.0,192,11.9,80.3,Critical,62.7
Westmeath,2018,757.75,125.0,61.791666666666664,12,18.2,12877,Deliveroo,0,0,0,0.0,27.1,Marginally below average,44.0,30,4.0,12.8,Low,
Westmeath,2019,807.75,105.0,63.23333333333333,14,20.4,11761,Upwork,0,0,0,0.0,27.1,Marginally below average,44.0,35,4.3,15.4,Low,16.7
Westmeath,2020,725.5,112.25,56.09166666666667,29,27.2,9069,Deliveroo,0,0,0,0.0,27.1,Marginally below average,44.0,72,9.9,63.2,High,105.7
Westmeath,2021,751.75,128.75,61.125,27,30.5,5576,JustEat,1,0,1,0.0,27.1,Marginally below average,44.0,68,9.0,55.6,High,-5.6
Westmeath,2022,714.25,128.25,65.50833333333333,36,33.4,11704,Fiverr,1,0,0,0.0,27.1,Marginally below average,44.0,90,12.6,86.3,Critical,32.4
Westmeath,2023,874.0,146.5,67.16666666666667,30,39.3,15831,JustEat,1,0,1,0.0,27.1,Marginally below average,44.0,75,8.6,52.1,High,-16.7
Westmeath,2024,884.75,146.0,68.05833333333334,46,43.8,10055,Upwork,0,0,0,0.0,27.1,Marginally below average,44.0,115,13.0,89.7,Critical,53.3
Westmeath,2025,950.25,176.25,69.83333333333333,26,45.1,13241,Fiverr,1,0,0,0.0,27.1,Marginally below average,44.0,65,6.8,36.8,Medium,-43.5
Wexford,2018,1213.0,174.25,61.800000000000004,20,17.3,9329,Other,1,0,0,0.0,29.3,Marginally below average,42.0,50,4.1,13.7,Low,
Wexford,2019,1337.0,182.25,63.116666666666674,38,23.5,9042,Airbnb,0,0,0,0.0,29.3,Marginally below average,42.0,95,7.1,39.3,Medium,90.0
Wexford,2020,1117.0,161.5,55.833333333333336,29,25.2,5301,Other,0,0,0,0.0,29.3,Marginally below average,42.0,72,6.4,33.3,Medium,-24.2
Wexford,2021,1210.75,156.25,60.96666666666667,26,31.6,13650,Other,2,1,0,50.0,29.3,Marginally below average,42.0,65,5.4,24.8,Low,-9.7
Wexford,2022,1332.25,240.25,66.2,40,32.6,6484,Upwork,1,0,1,0.0,29.3,Marginally below average,42.0,100,7.5,42.7,Medium,53.8
Wexford,2023,1498.75,242.0,67.71666666666667,56,37.4,6140,Fiverr,1,1,1,100.0,29.3,Marginally below average,42.0,140,9.3,58.1,High,40.0
Wexford,2024,1450.25,230.0,68.25,60,40.8,10904,Bolt,2,1,1,50.0,29.3,Marginally below average,42.0,150,10.3,66.7,High,7.1
Wexford,2025,1299.75,231.0,69.5,74,47.5,12398,JustEat,0,0,0,0.0,29.3,Marginally below average,42.0,185,14.2,100.0,Critical,23.3
Wicklow,2018,1587.5,235.0,61.51666666666666,21,17.7,10039,TaskRabbit,1,0,1,0.0,19.2,Affluent,48.0,52,3.3,6.8,Low,
Wicklow,2019,1717.75,228.5,63.625,34,24.0,14624,Fiverr,1,0,1,0.0,19.2,Affluent,48.0,85,4.9,20.5,Low,63.5
Wicklow,2020,1540.0,236.5,56.15833333333333,29,24.4,9319,Deliveroo,1,0,0,0.0,19.2,Affluent,48.0,72,4.7,18.8,Low,-15.3
Wicklow,2021,1479.5,241.75,60.833333333333336,60,31.4,11264,TaskRabbit,1,1,0,100.0,19.2,Affluent,48.0,150,10.1,65.0,High,108.3
Wicklow,2022,1716.5,301.25,66.45833333333333,68,33.6,10611,Deliveroo,0,0,0,0.0,19.2,Affluent,48.0,170,9.9,63.2,High,13.3
Wicklow,2023,1659.75,263.5,67.60833333333333,62,40.0,7481,Deliveroo,4,0,2,0.0,19.2,Affluent,48.0,155,9.3,58.1,High,-8.8
Wicklow,2024,1778.0,263.5,68.26666666666667,48,43.7,15677,Fiverr,0,0,0,0.0,19.2,Affluent,48.0,120,6.7,35.9,Medium,-22.6
Wicklow,2025,1980.0,316.0,69.375,49,45.8,12778,Upwork,3,1,1,33.3,19.2,Affluent,48.0,122,6.2,31.6,Medium,1.7
